ind1,ind2,SRI.observed,year,dyad
ind10,ind19,0.091731266,2011,ind10_ind19
ind11,ind19,0.024861878,2011,ind11_ind19
ind12,ind19,0.095890411,2011,ind12_ind19
ind13,ind19,0.083088954,2011,ind13_ind19
ind14,ind19,0.079562044,2011,ind14_ind19
ind15,ind19,0.008902077,2011,ind15_ind19
ind16,ind19,0.101838755,2011,ind16_ind19
ind17,ind19,0.049516908,2011,ind17_ind19
ind18,ind19,0.095524382,2011,ind18_ind19
ind20,ind19,0.032367973,2011,ind19_ind20
ind21,ind19,0.102145046,2011,ind19_ind21
ind22,ind19,0.01969697,2011,ind19_ind22
ind23,ind19,0.019485581,2011,ind19_ind23
ind24,ind19,0.035133377,2011,ind19_ind24
ind25,ind19,0.03731859,2011,ind19_ind25
ind26,ind19,0.037735849,2011,ind19_ind26
ind27,ind19,0.075471698,2011,ind19_ind27
ind28,ind19,0.050837666,2011,ind19_ind28
ind29,ind19,0.033108866,2011,ind19_ind29
ind30,ind19,0.004561003,2011,ind19_ind30
ind31,ind19,0.093939394,2011,ind19_ind31
ind32,ind19,0,2011,ind19_ind32
ind33,ind19,0.002506266,2011,ind19_ind33
ind34,ind19,0.020703934,2011,ind19_ind34
ind35,ind19,0.00862069,2011,ind19_ind35
ind36,ind19,0.06372549,2011,ind19_ind36
ind37,ind19,0.056254136,2011,ind19_ind37
ind38,ind19,0.029145078,2011,ind19_ind38
ind39,ind19,0.02775291,2011,ind19_ind39
ind40,ind19,0.076349024,2011,ind19_ind40
ind41,ind19,0.006217617,2011,ind19_ind41
ind42,ind19,0.077371048,2011,ind19_ind42
ind43,ind19,0.036551724,2011,ind19_ind43
ind44,ind19,0.0234375,2011,ind19_ind44
ind45,ind19,0.030020013,2011,ind19_ind45
ind46,ind19,0.05870021,2011,ind19_ind46
ind47,ind19,0.000949668,2011,ind19_ind47
ind48,ind19,0.015837104,2011,ind19_ind48
ind49,ind19,0,2011,ind19_ind49
ind50,ind19,0.054862843,2011,ind19_ind50
ind51,ind19,0.012237762,2011,ind19_ind51
ind52,ind19,0.011331445,2011,ind19_ind52
ind53,ind19,0.046430644,2011,ind19_ind53
ind54,ind19,0.034435262,2011,ind19_ind54
ind55,ind19,0.013285024,2011,ind19_ind55
ind56,ind19,0,2011,ind19_ind56
ind57,ind19,0.019715225,2011,ind19_ind57
ind58,ind19,0.005563282,2011,ind19_ind58
ind59,ind19,0,2011,ind19_ind59
ind60,ind19,0.011121409,2011,ind19_ind60
ind61,ind19,0.099861304,2011,ind19_ind61
ind63,ind19,0.052511416,2011,ind19_ind63
ind64,ind19,0.124807396,2011,ind19_ind64
ind65,ind19,0.04966443,2011,ind19_ind65
ind66,ind19,0.00746888,2011,ind19_ind66
ind67,ind19,0.001371742,2011,ind19_ind67
ind68,ind19,0.005059022,2011,ind19_ind68
ind69,ind19,0.01618123,2011,ind19_ind69
ind70,ind19,0.042735043,2011,ind19_ind70
ind72,ind19,0.013071895,2011,ind19_ind72
ind73,ind19,0.010869565,2011,ind19_ind73
ind74,ind19,0.082582583,2011,ind19_ind74
ind75,ind19,0.001964637,2011,ind19_ind75
ind76,ind19,0.011709602,2011,ind19_ind76
ind77,ind19,0.004237288,2011,ind19_ind77
ind78,ind19,0.052332913,2011,ind19_ind78
ind79,ind19,0,2011,ind19_ind79
ind80,ind19,0.007117438,2011,ind19_ind80
ind81,ind19,0.006674082,2011,ind19_ind81
ind82,ind19,0,2011,ind19_ind82
ind83,ind19,0,2011,ind19_ind83
ind84,ind19,0.020114943,2011,ind19_ind84
ind85,ind19,0.058156028,2011,ind19_ind85
ind86,ind19,0,2011,ind19_ind86
ind87,ind19,0.038834951,2011,ind19_ind87
ind88,ind19,0.087708067,2011,ind19_ind88
ind89,ind19,0.049056604,2011,ind19_ind89
ind90,ind19,0.010075567,2011,ind19_ind90
ind91,ind19,0.015463918,2011,ind19_ind91
ind92,ind19,0,2011,ind19_ind92
ind93,ind19,0,2011,ind19_ind93
ind94,ind19,0,2011,ind19_ind94
ind95,ind19,0.09394572,2011,ind19_ind95
ind96,ind19,0,2011,ind19_ind96
ind97,ind19,0.002766252,2011,ind19_ind97
ind98,ind19,0.00982801,2011,ind19_ind98
ind99,ind19,0,2011,ind19_ind99
ind100,ind19,0.00525394,2011,ind100_ind19
ind101,ind19,0,2011,ind101_ind19
ind102,ind19,0,2011,ind102_ind19
ind103,ind19,0.007285974,2011,ind103_ind19
ind1,ind67,0.008534137,2011,ind1_ind67
ind2,ind67,0,2011,ind2_ind67
ind3,ind67,0.038745387,2011,ind3_ind67
ind4,ind67,0.01300578,2011,ind4_ind67
ind6,ind67,0.019543974,2011,ind6_ind67
ind7,ind67,0.005937235,2011,ind67_ind7
ind8,ind67,0.004316547,2011,ind67_ind8
ind9,ind67,0.015438596,2011,ind67_ind9
ind10,ind67,0.003424658,2011,ind10_ind67
ind11,ind67,0,2011,ind11_ind67
ind12,ind67,0,2011,ind12_ind67
ind13,ind67,0.011514615,2011,ind13_ind67
ind14,ind67,0.00933956,2011,ind14_ind67
ind15,ind67,0.299630086,2011,ind15_ind67
ind16,ind67,0.005685407,2011,ind16_ind67
ind17,ind67,0.021325648,2011,ind17_ind67
ind18,ind67,0.00239521,2011,ind18_ind67
ind20,ind67,0.001564945,2011,ind20_ind67
ind21,ind67,0,2011,ind21_ind67
ind22,ind67,0.0056899,2011,ind22_ind67
ind23,ind67,0.115544472,2011,ind23_ind67
ind24,ind67,0.01944793,2011,ind24_ind67
ind25,ind67,0.005897772,2011,ind25_ind67
ind26,ind67,0.020982882,2011,ind26_ind67
ind27,ind67,0.004867496,2011,ind27_ind67
ind28,ind67,0.008709853,2011,ind28_ind67
ind29,ind67,0.057529611,2011,ind29_ind67
ind30,ind67,0.314655172,2011,ind30_ind67
