Year,Dyad,SRI observed,SRI expected,Home range overlap
2017,Ind24_Ind35,0.222907036,0.123011153,0.944413055
2017,Ind25_Ind35,0.227857496,0.136893611,0.930821866
2017,Ind35_Ind23,0.197741837,0.179409752,0.922532715
2017,Ind11_Ind35,0.11244204,0.326804605,0.800830615
2017,Ind35_Ind28,0.287273772,0.129124272,0.938720911
2017,Ind30_Ind35,0.214266487,0.321818516,0.936714322
2017,Ind35_Ind13,0.244467587,0.198894305,0.94170024
2017,Ind35_Ind26,0.196283695,0.133741332,0.918899143
2017,Ind1_Ind27,0.017914505,0.204612609,0.584904114
2017,Ind27_Ind5,0.018667358,0.1206831,0.59295703
2017,Ind6_Ind27,0.015890613,0.124777284,0.585610394
2017,Ind27_Ind3,0.02631231,0.235677918,0.573305449
2017,Ind27_Ind9,0.016868896,0.345648706,0.592388066
2017,Ind27_Ind7,0.018235452,0.347249718,0.594100872
2017,Ind2_Ind27,0.021077283,0.123820347,0.583651552
2017,Ind27_Ind4,0.020216897,0.332555932,0.574512525
2017,Ind27_Ind8,0.021765628,0.198204626,0.595922927
2017,Ind27_Ind10,0.194066413,0.212577198,0.86506245
2017,Ind27_Ind19,0.087795766,0.29928934,0.766335509
2017,Ind27_Ind14,0.147985989,0.117052137,0.896758196
2017,Ind27_Ind22,0.41137913,0.155110497,0.94445586
2017,Ind27_Ind12,0.191582003,0.131142616,0.875702247
2017,Ind15_Ind27,0.157433578,0.196127567,0.891162029
2017,Ind27_Ind34,0.148405797,0.242449541,0.918186146
2017,Ind27_Ind20,0.098562628,0.167016175,0.808226011
2017,Ind24_Ind27,0.458362989,0.130944432,0.962742277
2017,Ind25_Ind27,0.477653631,0.144179598,0.953894652
2017,Ind27_Ind23,0.390416339,0.190457096,0.948059753
2017,Ind11_Ind27,0.17562724,0.337449054,0.835281472
2017,Ind27_Ind28,0.444116199,0.121626421,0.960967728
2017,Ind30_Ind27,0.45724172,0.326257079,0.95807169
2017,Ind27_Ind13,0.384459915,0.21043845,0.957888177
2017,Ind27_Ind26,0.526788003,0.125922419,0.936704698
2017,Ind27_Ind35,0.215186162,0.357515266,0.926267371
2017,Ind1_Ind16,0.021659054,0.167945816,0.587695078
2017,Ind16_Ind5,0.021512081,0.131715251,0.595108983
2017,Ind6_Ind16,0.021783927,0.135134777,0.588258365
2017,Ind16_Ind3,0.030646449,0.191803104,0.58227655
2017,Ind16_Ind9,0.022781554,0.291365568,0.583548231
2017,Ind16_Ind7,0.024767802,0.294441557,0.595373427
2017,Ind2_Ind16,0.028744104,0.134208444,0.590941294
2017,Ind16_Ind4,0.024663313,0.280305284,0.577951069
2017,Ind16_Ind8,0.02747129,0.160365222,0.598446053
2017,Ind16_Ind10,0.370996441,0.174780741,0.913781586
2017,Ind16_Ind19,0.26825029,0.25261141,0.858594486
2017,Ind16_Ind14,0.374476987,0.119673948,0.877637844
2017,Ind16_Ind22,0.201178203,0.130195598,0.877749217
2017,Ind16_Ind12,0.308411215,0.13813803,0.900048236
2017,Ind15_Ind16,0.395697849,0.162943049,0.892006526
2017,Ind16_Ind34,0.10754481,0.197224091,0.846613185
2017,Ind16_Ind20,0.357063404,0.137890615,0.892219425
2017,Ind24_Ind16,0.18097561,0.107568456,0.85496571
2017,Ind25_Ind16,0.172245467,0.120285904,0.848166914
2017,Ind16_Ind23,0.251953736,0.155080151,0.891252198
2017,Ind11_Ind16,0.407037565,0.277857968,0.922930301
2017,Ind16_Ind28,0.165304037,0.130565568,0.850439913
2017,Ind30_Ind16,0.16463724,0.276570557,0.861026192
2017,Ind16_Ind13,0.187973601,0.171590803,0.856434976
2017,Ind16_Ind26,0.145284413,0.134046059,0.844076167
2017,Ind16_Ind35,0.136454582,0.299263913,0.829505307
2017,Ind16_Ind27,0.161671707,0.303574522,0.869644062
2017,Ind1_Ind31,0.038614092,0.051620502,0.581193883
2017,Ind31_Ind5,0.037370663,0.039436728,0.58933728
